pedX,pedY,vehX,vehY,TTC
900,275,193,228,3
900,259,429,228,2
900,243,665,228,1
900,275,489,200,3
900,250,626,200,2
900,225,763,200,1
900,25,667,71,3
900,41,745,71,2
900,57,823,71,1
900,25,517,62,3
900,38,645,62,2
900,51,773,62,1
900,275,385,199,3
900,249,557,199,2
900,223,729,199,1
900,275,754,189,3
900,246,803,189,2
900,217,852,189,1
900,25,656,116,3
900,56,738,116,2
900,87,820,116,1
900,275,510,245,3
900,265,640,245,2
900,255,770,245,1
900,25,337,77,3
900,43,525,77,2
900,61,713,77,1
900,275,480,237,3
900,262,620,237,2
900,249,760,237,1
900,25,490,104,3
900,52,627,104,2
900,79,764,104,1
900,25,597,84,3
900,45,698,84,2
900,65,799,84,1
900,275,476,208,3
900,252,618,208,2
900,229,760,208,1
900,25,582,74,3
900,42,688,74,2
900,59,794,74,1
900,25,455,78,3
900,43,604,78,2
900,61,753,78,1
900,275,507,184,3
900,244,638,184,2
900,213,769,184,1
900,25,539,88,3
900,46,660,88,2
900,67,781,88,1
900,25,588,81,3
900,44,692,81,2
900,63,796,81,1
900,275,456,208,3
900,252,604,208,2
900,229,752,208,1
900,275,539,213,3
900,254,660,213,2
900,233,781,213,1
900,25,493,94,3
900,48,629,94,2
900,71,765,94,1
900,275,451,225,3
900,258,601,225,2
900,241,751,225,1
900,25,504,82,3
900,44,636,82,2
900,63,768,82,1
900,25,471,109,3
900,53,614,109,2
900,81,757,109,1
900,25,430,72,3
900,41,587,72,2
900,57,744,72,1
900,275,467,196,3
900,248,612,196,2
900,221,757,196,1
900,275,625,194,3
900,248,717,194,2
900,221,809,194,1
900,25,287,99,3
900,50,492,99,2
900,75,697,99,1
900,275,510,216,3
900,255,640,216,2
900,235,770,216,1
900,275,596,206,3
900,252,698,206,2
900,229,800,206,1
900,25,776,104,3
900,52,818,104,2
900,79,860,104,1
900,275,512,240,3
900,263,642,240,2
900,251,772,240,1
900,275,327,220,3
900,256,518,220,2
900,237,709,220,1
900,25,295,53,3
900,35,497,53,2
900,45,699,53,1
900,25,367,65,3
900,39,545,65,2
900,53,723,65,1
900,275,342,187,3
900,245,528,187,2
900,215,714,187,1
900,275,850,202,3
900,250,867,202,2
900,225,884,202,1
900,275,669,200,3
900,250,746,200,2
900,225,823,200,1
900,25,546,53,3
900,35,664,53,2
900,45,782,53,1
900,25,463,90,3
900,47,609,90,2
900,69,755,90,1
900,25,657,89,3
900,47,738,89,2
900,69,819,89,1
900,275,418,219,3
900,256,579,219,2
900,237,740,219,1
900,25,654,87,3
900,46,736,87,2
900,67,818,87,1
900,275,443,226,3
900,258,596,226,2
900,241,749,226,1
900,25,669,83,3
900,45,746,83,2
900,65,823,83,1
900,275,493,259,3
900,269,629,259,2
900,263,765,259,1
900,275,523,226,3
900,258,649,226,2
900,241,775,226,1
900,25,560,97,3
900,49,674,97,2
